year_,cpi_
2013/1,97.45
2013/2,97.91
2013/3,96.5
2013/4,97.1
2013/5,97.28
2013/6,97.77
2013/7,97.62
2013/8,97.74
2013/9,99.02
2013/10,98.75
2013/11,98.04
2013/12,97.95
2014/1,98.25
2014/2,97.87
2014/3,98.05
2014/4,98.71
2014/5,98.86
2014/6,99.37
2014/7,99.34
2014/8,99.77
2014/9,99.72
2014/10,99.79
2014/11,98.88
2014/12,98.54
2015/1,97.33
2015/2,97.67
2015/3,97.45
2015/4,97.9
2015/5,98.14
2015/6,98.81
2015/7,98.71
2015/8,99.33
2015/9,100.01
2015/10,100.1
2015/11,99.41
2015/12,98.67
2016/1,98.12
2016/2,100.02
2016/3,99.41
2016/4,99.73
2016/5,99.35
2016/6,99.7
2016/7,99.93
2016/8,99.89
2016/9,100.35
2016/10,101.8
2016/11,101.37
2016/12,100.34
2017/1,100.32
2017/2,99.96
2017/3,99.59
2017/4,99.83
2017/5,99.94
2017/6,100.7
2017/7,100.7
2017/8,100.85
2017/9,100.84
2017/10,101.46
2017/11,101.71
2017/12,101.56
2018/1,101.21
2018/2,102.16
2018/3,101.17
2018/4,101.83
2018/5,101.69
2018/6,102.11
2018/7,102.47
2018/8,102.4
2018/9,102.57
2018/10,102.64
2018/11,102.01
2018/12,101.5
2019/1,101.39
2019/2,102.38
2019/3,101.74
2019/4,102.5
2019/5,102.64
2019/6,102.98
2019/7,102.86
2019/8,102.84
2019/9,103
2019/10,103.02
2019/11,102.6
2019/12,102.66
2020/1,103.28
2020/2,102.17
2020/3,101.71
2020/4,101.51
2020/5,101.4
2020/6,102.21
2020/7,102.34
2020/8,102.5
