行政區,土地面積,建物總面積,屋齡,樓層,總樓層,用途,房數,廳數,衛數,電梯,車位類別,交易日期,總價,經度,緯度
北區,33.82,98.05,39.37384067,4,5,住,5,0,5,0,無,2020/5/21,6800000,120.68834,24.158832999999998
南區,26.49,174.63,16.63826088,4,9,住,4,2,2,1,坡道平面,2018/8/15,8900000,120.652024,24.119312
東區,30.64,182.1,3.370363526,2,13,住,3,2,2,1,坡道平面,2019/8/1,11000000,120.69896100000001,24.127845999999998
中區,1.65,33.76,22.79307583,12,19,商,1,1,1,1,無,2019/3/6,1200000,120.67783999999999,24.146457
北區,22.0,90.64,24.81912702,5,5,住,3,2,2,0,無,2019/5/17,4800000,120.66387399999999,24.160882
西屯區,3.09,21.34,24.8136512,5,12,住,1,0,1,1,無,2019/7/24,880000,120.60798799999999,24.18479
西區,17.27,185.98,25.01351842,7,13,住,2,2,2,1,坡道平面,2019/10/1,12600000,120.655258,24.141161
北區,5.34,67.62,11.03376524,11,18,住,1,1,1,1,無,2016/12/20,4000000,120.67511699999999,24.163264
西屯區,7.96,69.45,12.31236781,11,12,住,1,1,1,1,無,2020/3/15,5700000,120.64736,24.155729
大里區,17.8,107.35,27.17098914,4,6,住,3,2,2,1,無,2019/5/28,4200000,120.68051000000001,24.109811999999998
北屯區,10.22,82.25,19.028453699999996,2,14,住,2,1,1,1,無,2019/2/28,4450000,120.697657,24.175193
西屯區,19.92,319.29,0.936364196,16,32,商,3,2,3,1,坡道平面,2019/5/15,39850000,120.630241,24.163056
沙鹿區,25.18,125.68,0.32033512,11,12,住,3,2,2,1,升降機械,2020/1/17,5960000,120.56695400000001,24.255307000000002
大里區,13.73,124.26,15.36239622,2,11,商,3,2,2,1,坡道平面,2019/5/17,7000000,120.67265900000001,24.115069000000002
大里區,13.97,125.29,23.10245932,1,12,住,3,2,1,1,坡道機械,2017/6/27,6000000,120.685686,24.114832999999997
西屯區,11.87,117.12,3.7564084139999996,11,21,住,2,2,2,1,坡道機械,2018/8/16,8200000,120.609973,24.192242
西屯區,9.55,86.22,15.22550087,10,13,住,3,2,2,1,無,2018/10/21,5900000,120.64103600000001,24.168232999999997
西區,24.28,169.79,10.56010733,9,12,住,3,2,2,1,坡道平面,2019/3/21,13500000,120.655946,24.137694
南區,18.71,115.19,24.25238027,7,12,住,3,2,2,1,無,2018/10/18,3300000,120.66907900000001,24.113745
大雅區,15.79,155.91,23.95942422,3,14,住,3,2,2,1,坡道平面,2018/7/28,5330000,120.64751000000001,24.218643
北屯區,16.41,110.35,-0.188915583,6,12,住,2,2,1,1,坡道平面,2019/9/11,6380000,120.70541000000001,24.193123999999997
北屯區,25.83,239.91,24.8903126,6,12,商,1,1,1,1,無,2018/7/9,11000000,120.664282,24.185928
西屯區,13.76,96.12,26.00737866,7,7,住,2,2,2,1,升降機械,2020/6/6,4980000,120.61784899999999,24.176542
西區,2.75,42.16,24.53438469,11,19,住,1,0,1,1,坡道機械,2019/7/27,2000000,120.667952,24.129922
北屯區,57.25,131.11,38.21023019,4,4,住,4,2,2,0,無,2020/1/22,4800000,120.67088000000001,24.179060999999997
南區,20.34,120.29,18.754663,3,8,住,3,2,2,1,坡道機械,2018/3/10,6000000,120.6636264,24.11706113
北區,7.1,41.06,29.90615824,3,8,住,2,1,1,1,無,2019/5/10,2350000,120.67114299999999,24.17322
西區,5.36,59.63,20.64381883,11,14,住,2,1,1,1,坡道機械,2019/3/23,4500000,120.657827,24.155018
太平區,17.55,210.9,5.648302155,13,15,住,4,2,2,1,坡道平面,2020/2/18,12700000,120.705679,24.162658
北屯區,20.56,165.44,1.026715128,17,21,住,3,2,2,1,坡道平面,2019/8/11,14060000,120.70500600000001,24.182593
西區,91.58,544.94,10.50808709,11,11,住,5,4,4,1,坡道平面,2018/2/10,39000000,120.667674,24.147736
西區,15.85,113.76,36.42785273,8,10,住,3,2,2,1,無,2017/12/14,5500000,120.66769599999999,24.143055
清水區,14.61,153.21,0.030116977000000003,9,15,商,3,2,2,1,坡道機械,2020/1/21,5680000,120.54211200000002,24.268613000000002
北區,32.43,91.72,38.23760926,5,5,住,3,2,2,0,無,2017/5/30,4890000,120.676379,24.154795
西屯區,45.5,246.52,26.14701192,4,7,住,4,2,5,1,坡道平面,2017/9/25,7000000,120.625349,24.185845999999998
清水區,15.12,165.68,-0.490085354,6,15,商,3,2,2,1,坡道平面,2019/7/15,6200000,120.54211200000002,24.268613000000002
大里區,16.07,150.59,23.74039166,14,14,住,3,2,2,1,坡道平面,2017/6/12,4350000,120.69276,24.092651999999998
南屯區,21.36,134.14,0.317597213,7,10,住,3,2,2,1,坡道平面,2018/8/7,11160000,120.628477,24.150848999999997
北屯區,10.42,41.71,28.69600334,2,5,住,1,1,1,1,無,2020/3/5,1720000,120.668549,24.180092000000002
北屯區,9.69,85.71,20.2002779,15,16,住,2,2,1,1,坡道機械,2017/10/3,4390000,120.686443,24.181455
北區,23.03,93.69,36.58117552,2,5,住,3,2,2,0,無,2018/1/6,4250000,120.67371399999999,24.158947
東區,9.93,95.49,12.78328782,10,15,住,2,2,1,1,無,2019/5/14,4900000,120.700993,24.145861
西屯區,33.35,258.58,4.520284469,4,18,住,4,2,2,1,坡道平面,2019/7/18,17500000,120.63445800000001,24.173542
南區,24.41,154.73,0.531153959,14,15,住,3,2,2,1,坡道平面,2017/4/26,10850000,120.661061,24.111415
北區,9.12,202.49,0.8706544279999999,3,28,商,3,2,2,1,坡道平面,2017/5/31,15150000,120.689378,24.157031
北屯區,21.96,202.29,5.152740987,9,14,住,4,2,2,1,坡道機械,2018/11/22,10700000,120.713606,24.181495
西區,5.33,48.1,23.57064142,3,14,住,1,1,1,1,無,2020/3/25,2700000,120.65421699999999,24.153417
北屯區,31.34,281.71,4.093170975,13,15,住,4,2,2,1,坡道平面,2019/5/17,19250000,120.713798,24.166103
北屯區,7.05,80.16,22.3112042,6,12,住,2,2,1,1,無,2016/12/6,3350000,120.701884,24.169414
太平區,14.23,108.32,26.53579471,7,12,住,3,2,2,1,無,2020/3/23,4300000,120.72053999999999,24.134048999999997
大雅區,26.21,148.14,2.390192817,15,19,住,3,2,2,1,坡道機械,2018/11/3,11000000,120.647302,24.229160999999998
北屯區,48.27,218.27,-2.518874446,12,15,住,3,2,2,1,坡道平面,2017/8/27,20580000,120.689975,24.193757
南屯區,27.78,275.55,1.338836526,6,23,住,3,2,2,1,坡道平面,2017/11/28,23500000,120.64123700000002,24.137081
南區,24.94,149.69,3.332032828,7,14,住,3,2,2,1,坡道平面,2020/5/26,11920000,120.665791,24.113723
西屯區,27.34,130.33,21.42686024,4,12,住,3,2,2,1,無,2018/2/26,4800000,120.611299,24.209962
潭子區,14.09,94.29,21.16949698,4,8,住,2,1,1,1,升降平面,2020/2/14,4700000,120.702327,24.208307
大里區,15.66,95.05,27.51870333,3,7,住,3,2,2,1,無,2020/3/14,4500000,120.68319699999999,24.106839
北屯區,19.98,65.46,38.73317043,5,5,住,6,0,6,0,無,2018/8/3,6400000,120.688845,24.162763
西屯區,16.62,111.87,10.93246268,8,12,住,3,2,2,1,無,2019/6/17,7150000,120.61342900000001,24.1734
西屯區,25.92,276.74,3.967227253,5,25,住,4,2,2,1,坡道平面,2019/9/26,17200000,120.608007,24.190404
大雅區,19.01,141.42,5.448434944,2,14,商,3,2,2,1,坡道機械,2017/7/16,7800000,120.648398,24.228683
西屯區,23.15,166.45,3.901517485,4,12,住,3,2,2,1,坡道平面,2017/7/9,10680000,120.63536599999999,24.17671
南屯區,18.9,180.21,24.87114725,4,16,住,4,2,2,1,坡道平面,2019/10/20,11600000,120.651008,24.157204999999998
西區,27.03,142.42,37.07673669,6,7,住,4,2,2,1,無,2019/10/18,7500000,120.667478,24.149283999999998
北區,11.52,64.02,22.42619629,3,7,住,2,1,1,1,無,2017/7/19,3500000,120.67793600000002,24.167835999999998
北屯區,10.83,121.61,24.85745772,15,17,住,3,1,2,1,無,2019/9/17,5500000,120.70312,24.186776000000002
西屯區,33.2,257.03,5.451172851,12,14,住,4,2,3,1,坡道平面,2019/11/9,20200000,120.63628,24.175134
西屯區,6.61,73.55,23.53231073,14,14,住,2,1,1,1,無,2017/2/27,3850000,120.62158400000001,24.186232999999998
西屯區,16.05,62.12,30.42362266,1,5,住,7,0,7,0,無,2019/12/27,4650000,120.645269,24.174094
東區,30.64,182.1,0.9829086159999999,4,13,住,3,2,2,1,坡道平面,2017/3/12,8560000,120.69896100000001,24.127845999999998
南屯區,31.18,529.54,5.212974941000001,19,27,住,4,2,4,1,坡道平面,2018/2/13,49250000,120.647075,24.155469
西區,2.6,43.39,24.33177957,18,22,商,1,0,1,1,無,2020/5/19,1600000,120.672223,24.14161
南區,11.86,112.2,9.886582202,11,12,商,2,2,1,1,坡道平面,2018/6/17,7500000,120.65371999999999,24.113551
西屯區,32.64,226.63,0.83232373,6,12,住,4,2,2,1,坡道平面,2017/3/6,16000000,120.668644,24.175972
大雅區,22.63,93.09,24.73151399,1,6,住,2,2,2,1,無,2017/12/30,3900000,120.647043,24.216967999999998
東區,23.08,196.41,10.72711965,13,15,住,4,2,2,1,坡道平面,2017/6/14,9500000,120.700993,24.145861
東區,16.98,159.07,1.31693327,4,15,商,3,2,2,1,坡道機械,2017/11/13,9500000,120.706477,24.148357999999998
西區,35.25,245.0,12.14809339,4,11,住,3,2,2,1,坡道平面,2019/10/2,18000000,120.667674,24.147736
